Frequency PickUp,Voltage PickUp,Pressure,Gear,RPM
216,32,66,43,28
264,43,5,21,127
22,18,82,15,63
196,19,74,15,70
176,43,90,34,212
120,50,16,38,144
26,14,27,16,277
146,32,94,42,133
246,31,55,36,2
48,6,68,41,181
94,19,29,40,137
299,24,93,5,224
131,25,99,50,88
42,46,79,38,19
135,47,98,36,153
240,29,78,38,247
70,15,81,13,223
185,27,44,6,33
246,22,14,19,74
130,50,83,34,254
157,30,66,36,221
141,7,9,25,55
287,9,71,34,228
175,26,79,19,90
154,10,40,18,218
288,8,36,3,143
84,9,36,23,146
106,44,78,50,210
149,18,68,21,273
242,33,95,7,226
131,38,84,42,247
80,23,11,8,121
107,1,71,5,274
40,16,33,35,190
19,48,42,15,43
174,30,96,31,213
39,16,21,31,150
227,0,3,38,262
269,30,54,19,66
35,24,30,33,137
159,25,67,31,236
251,13,54,35,170
114,37,48,13,34
128,47,60,29,156
284,20,62,18,1
92,3,79,32,95
239,29,63,37,276
297,1,56,22,2
166,20,46,11,189
216,32,42,1,290
98,5,20,26,112
134,28,14,3,260
127,16,25,25,2
177,25,13,36,105
48,8,9,49,157
172,35,43,41,72
192,20,8,17,136
16,48,84,30,112
92,30,21,15,141
288,41,1,48,27
256,22,84,42,162
25,13,88,35,186
82,31,85,1,280
118,44,92,29,106
83,41,40,10,186
27,38,68,38,212
236,29,53,41,30
77,28,87,16,78
299,49,92,31,133
7,25,72,8,43
229,18,34,31,184
193,8,79,2,240
194,23,29,19,290
141,20,1,10,253
246,39,73,40,19
87,22,35,34,80
70,2,14,43,93
31,24,11,4,122
85,49,94,11,294
86,50,17,4,286
201,35,99,34,293
57,11,38,21,275
117,34,40,31,2
52,25,71,27,298
171,27,46,16,33
208,50,71,18,237
210,14,30,49,79
43,45,57,41,7
34,14,22,2,93
153,4,44,9,174
224,9,38,28,210
87,6,81,10,213
49,3,55,5,282
234,24,32,16,149
300,45,62,46,79
86,24,79,2,60
122,9,80,18,289
65,28,7,49,103
117,33,91,19,204
252,3,90,44,205
123,38,55,45,138
155,24,39,49,168
145,45,45,7,256
13,28,49,48,123
0,27,37,9,152
111,17,74,29,293
152,34,69,47,87
245,50,24,20,292
157,0,81,7,254
287,25,99,21,140
82,9,74,49,42
103,50,61,8,213
29,26,84,28,285
222,21,26,35,84
100,2,52,43,255
228,22,30,3,73
97,9,71,33,143
175,47,23,19,216
158,8,34,30,95
37,39,78,5,165
286,41,70,7,68
28,15,35,24,286
45,17,52,46,263
41,11,47,41,83
67,16,29,2,269
217,48,87,9,211
78,34,91,31,99
63,0,25,4,123
89,41,100,36,20
73,38,93,24,15
276,29,29,3,207
91,37,92,34,14
212,50,36,7,11
193,15,48,10,127
17,23,22,41,278
166,32,2,38,72
238,3,85,7,46
130,36,35,32,14
285,34,68,14,13
163,6,54,18,133
58,25,49,13,223
55,0,22,24,47
288,40,76,34,179
72,11,81,43,140
132,40,11,25,294
229,40,7,44,278
6,4,94,1,182
119,29,17,2,248
296,9,12,47,196
246,15,60,30,158
151,7,22,23,143
210,1,22,41,209
235,12,83,26,46
267,9,26,33,44
55,43,94,15,46
149,36,13,50,197
261,35,98,31,262
254,7,0,41,85
185,13,75,47,228
238,7,8,47,83
75,40,26,45,143
4,38,0,23,63
79,23,98,47,3
156,26,34,33,119
213,20,79,24,76
200,30,11,37,126
112,3,25,10,89
70,0,33,35,118
135,49,40,44,93
62,45,90,20,28
31,41,33,24,274
126,26,66,28,267
223,33,98,29,170
238,7,6,28,91
23,33,3,36,228
61,45,32,25,192
77,25,4,12,141
20,31,90,13,276
148,26,80,0,276
2,4,43,29,246
142,36,91,31,85
171,5,49,42,218
18,24,68,18,91
33,21,83,26,232
172,50,0,48,157
42,3,93,38,283
291,8,68,30,228
26,4,0,8,52
219,47,4,24,54
69,39,46,48,153
58,27,52,43,73
139,4,47,31,255
260,30,96,11,286
279,43,74,11,191
292,35,96,20,192
83,0,19,20,169
83,10,22,43,262
181,40,31,46,296
263,42,15,47,119
173,6,22,28,173
297,16,34,28,194
300,2,78,37,83
108,15,51,7,111
106,2,9,9,131
291,28,30,20,179
224,0,44,15,202
98,27,74,18,5
107,8,39,16,222
68,50,40,37,207
25,4,68,30,47
270,21,14,3,186
9,28,35,38,251
211,48,20,36,0
101,40,35,50,8
72,0,38,34,187
164,37,57,13,224
5,24,36,5,112
235,44,44,24,123
185,14,4,12,268
149,37,55,6,86
238,31,73,17,258
280,27,88,44,109
92,0,21,25,293
11,0,96,48,150
160,40,10,39,193
294,5,11,28,257
187,24,20,33,285
215,39,6,2,280
160,24,100,19,65
52,33,66,31,114
191,16,48,35,254
189,29,61,9,140
294,19,67,9,164
272,19,72,14,10
95,11,24,40,26
191,1,34,47,267
158,7,76,17,17
89,4,58,5,211
195,40,54,3,107
146,10,24,36,164
1,31,83,45,269
232,42,20,14,254
147,8,34,48,39
217,41,74,24,165
63,3,3,40,168
240,3,54,8,279
184,29,81,40,72
178,36,3,32,71
52,10,53,14,198
194,2,74,6,50
128,14,79,14,183
194,50,5,18,183
284,16,85,8,107
213,39,83,20,125
1,15,23,31,29
210,12,28,22,213
124,26,58,29,4
81,35,12,6,235
94,20,14,45,224
284,19,5,27,68
278,20,18,0,134
155,1,10,1,19
17,45,73,11,21
92,20,15,36,127
154,11,72,31,45
13,30,25,21,251
197,18,76,17,44
47,39,82,32,69
278,33,17,10,141
219,24,48,36,88
85,33,12,21,229
259,39,86,7,257
275,49,44,36,168
146,40,10,5,150
240,36,71,38,264
276,46,38,36,52
107,17,33,22,42
219,5,93,17,226
109,26,48,10,43
22,12,66,7,133
171,46,37,15,121
149,43,52,18,182
174,33,53,14,70
18,27,65,40,223
169,30,4,43,163
15,35,32,1,52
216,28,74,26,251
264,35,1,13,53
160,21,71,44,72
156,28,42,18,276
279,3,68,35,220
82,3,2,38,189
167,36,82,45,136
27,6,24,0,46
117,26,6,47,114
278,42,52,15,98
268,14,11,25,82
175,19,51,14,105
185,24,36,8,66
185,40,40,18,262
155,20,14,21,34
0,14,93,49,77
197,16,93,37,265
41,44,4,24,70
94,31,2,40,294
230,33,7,29,108
79,42,31,39,283
269,22,86,37,38
184,49,21,5,42
243,50,73,7,243
234,30,28,17,181
174,46,27,1,125
165,40,79,5,249
247,14,70,29,227
281,29,100,31,219
59,17,86,36,280
169,21,78,45,11
4,18,67,41,61
5,9,78,4,13
126,27,54,6,300
215,41,44,38,117
240,44,23,0,16
9,30,97,25,211
191,24,65,32,173
277,45,63,34,147
77,45,63,5,170
235,22,91,22,161
3,35,81,42,219
56,32,1,19,109
105,38,86,9,239
8,10,93,31,295
234,12,71,38,244
178,7,25,16,93
287,9,5,15,258
114,35,59,43,156
84,7,22,22,45
234,20,63,50,159
81,33,23,22,261
143,17,42,38,78
68,35,81,11,139
103,47,55,29,32
85,8,97,43,36
132,46,87,1,17
281,40,70,38,282
263,32,66,38,30
80,41,5,46,68
291,37,24,42,99
298,45,10,35,195
79,13,72,39,32
227,29,36,49,18
250,8,54,24,191
116,14,100,31,219
67,43,89,35,5
10,46,23,12,124
52,19,68,42,85
92,31,69,49,237
35,34,57,10,248
128,42,29,42,66
181,38,48,9,12
282,6,49,2,240
44,32,62,25,183
29,23,91,35,22
142,34,64,9,276
294,47,98,35,270
272,24,53,29,85
9,12,96,11,263
183,40,27,31,49
31,10,68,42,164
167,16,100,25,78
120,42,16,41,119
217,27,79,27,51
194,0,64,9,239
118,21,61,30,59
170,26,23,42,278
221,35,6,45,252
133,21,88,44,115
246,6,61,2,228
161,31,30,20,290
86,49,62,7,280
257,48,70,17,148
49,17,42,38,121
208,37,52,2,40
154,10,94,2,190
88,13,83,49,10
85,42,59,36,181
17,30,55,21,251
117,28,78,10,202
265,50,80,49,127
138,24,47,23,259
277,7,30,9,34
88,23,81,47,20
138,18,48,18,198
16,28,32,12,124
250,17,22,8,32
81,24,31,36,218
167,49,7,12,154
288,10,22,33,197
128,21,25,17,225
22,49,25,19,246
285,4,60,32,133
223,10,87,44,10
19,38,15,47,162
54,28,0,12,238
226,33,85,28,274
190,35,95,25,109
247,29,100,46,215
135,32,47,8,124
104,28,60,22,222
72,3,84,5,10
298,42,1,19,263
38,33,22,32,246
45,14,5,32,118
108,32,99,13,83
52,11,2,2,60
117,38,37,36,263
155,36,97,9,267
43,23,83,25,298
300,12,18,45,204
53,5,74,14,114
263,14,84,3,131
183,19,55,36,81
50,27,80,6,132
162,23,27,44,149
173,38,99,6,279
127,0,20,12,110
231,7,80,49,44
293,27,82,34,33
87,37,11,39,252
206,15,97,28,114
235,2,100,19,166
148,22,80,34,185
274,43,95,28,207
51,40,96,6,275
216,42,36,7,10
250,50,47,4,31
139,30,50,28,131
102,21,75,40,7
211,47,41,9,299
161,43,16,18,76
29,4,74,38,76
270,38,53,23,92
298,1,65,27,267
190,29,69,26,172
274,8,82,48,154
293,10,9,34,227
221,33,75,14,249
288,43,79,47,65
112,42,12,28,218
189,8,66,18,300
112,5,54,16,137
105,42,92,50,9
24,43,27,44,207
295,16,77,39,125
248,2,40,7,185
265,30,12,35,85
0,43,30,21,141
103,23,71,3,47
138,46,92,49,38
5,46,38,42,110
269,34,11,10,0
111,5,35,32,49
222,48,81,46,67
46,12,15,11,89
121,37,56,28,236
293,31,5,1,100
277,25,90,40,143
109,10,26,18,227
168,3,40,18,195
107,19,41,18,182
210,27,20,19,89
299,4,81,32,234
164,27,7,10,182
76,50,60,21,260
260,7,82,39,88
21,35,37,10,26
212,42,68,44,76
152,47,18,47,195
236,44,27,39,269
139,36,47,28,0
208,6,70,18,64
136,37,43,28,222
16,5,76,10,260
152,21,45,45,168
95,0,50,24,97
286,12,18,22,163
101,33,10,44,125
66,7,100,6,215
28,38,51,41,238
99,30,36,15,48
157,28,69,5,3
12,14,26,41,87
216,4,68,45,221
64,25,95,33,58
158,30,15,26,190
216,35,35,41,149
53,8,2,48,25
0,17,9,21,260
32,39,38,19,70
14,10,15,8,191
290,29,2,35,281
3,15,76,13,208
156,10,67,12,1
9,18,35,36,58
284,36,19,47,142
259,2,4,2,215
108,21,56,18,291
291,9,76,2,284
164,34,80,15,198
3,44,68,13,207
115,8,1,16,212
76,37,31,36,42
278,15,2,12,114
100,15,70,20,11
206,47,0,4,55
149,23,33,29,114
217,12,85,28,245
103,1,90,32,164
273,21,7,17,63
273,40,43,11,82
225,24,48,25,284
34,23,28,11,154
50,2,4,29,90
240,5,56,15,183
209,18,35,34,105
112,39,29,32,0
218,2,32,24,149
187,34,68,47,29
94,13,86,44,272
174,29,66,6,117
213,41,60,37,188
11,9,69,34,245
167,4,32,31,217
225,38,67,6,247
46,26,93,35,201
87,21,74,50,192
241,1,65,40,96
183,29,42,47,147
249,27,24,6,84
178,21,86,35,247
211,14,7,30,135
109,20,59,33,263
152,4,63,29,134
19,3,85,30,140
213,11,72,6,131
55,1,68,47,147
7,4,39,40,273
112,47,73,13,158
162,3,1,22,59
198,9,41,18,27
19,18,60,1,262
84,41,7,3,124
3,25,38,48,127
18,12,49,9,211
190,33,29,34,60
143,17,14,10,94
10,50,100,37,40
130,19,51,34,265
140,44,65,22,32
273,48,8,45,189
276,2,31,41,17
165,3,20,6,207
22,41,2,18,168
228,24,4,38,87
193,30,61,49,39
189,25,57,49,158
256,8,14,47,121
177,32,0,34,156
47,15,27,48,95
239,32,75,23,31
96,12,70,10,25
11,36,7,17,13
65,18,13,11,235
3,45,94,48,108
215,37,27,48,257
247,41,50,47,180
250,32,93,9,115
110,13,31,1,124
96,24,99,13,113
139,28,9,12,265
69,43,80,27,54
178,17,99,37,161
118,34,9,5,238
62,45,76,42,243
240,23,69,0,138
166,23,73,41,94
167,37,26,38,112
129,33,61,24,45
87,10,1,35,234
66,2,37,5,266
159,0,58,50,123
296,3,3,13,209
177,17,68,2,183
250,33,42,22,213
256,39,51,47,144
164,10,71,31,38
256,30,8,4,159
272,26,74,37,37
23,26,24,34,136
184,12,65,42,51
7,36,65,46,189
74,41,70,6,71
3,4,16,36,158
48,8,6,36,194
94,35,28,46,299
44,21,1,14,208
235,8,35,19,30
169,32,49,34,227
275,39,53,6,28
185,10,69,10,228
202,10,26,0,206
149,46,26,29,58
43,3,32,43,292
199,29,99,47,12
247,50,19,11,64
214,7,72,43,288
167,24,82,9,19
293,22,96,13,290
177,41,37,16,90
6,6,61,2,21
185,29,81,17,117
61,29,70,1,246
100,32,10,7,129
200,24,85,32,229
139,33,16,17,226
247,26,58,24,126
159,6,14,41,66
217,10,59,8,44
218,31,87,37,226
151,43,22,19,117
174,18,65,43,194
73,4,76,30,43
229,0,83,31,181
180,47,37,26,214
165,39,5,29,101
86,27,87,21,207
26,32,44,46,85
108,31,17,37,10
39,2,70,33,20
96,41,76,47,18
10,31,27,0,204
89,40,98,27,173
211,41,69,14,190
76,32,31,38,218
157,20,68,37,258
253,28,46,0,62
248,23,35,20,143
101,29,60,27,232
68,18,79,32,111
138,25,91,46,108
180,44,90,2,253
197,21,61,48,80
179,28,89,30,188
123,21,4,35,106
286,42,42,46,24
114,48,50,26,155
152,12,28,47,108
226,6,94,9,176
37,6,91,14,65
26,16,75,5,203
63,2,40,11,146
42,29,91,16,0
71,26,80,0,40
40,3,46,3,118
178,25,9,9,137
128,41,49,15,280
16,31,35,19,60
227,47,39,26,239
186,44,5,42,116
23,41,57,36,103
94,18,94,33,93
284,28,9,29,72
179,4,73,35,150
161,35,53,16,128
57,14,4,46,134
278,12,92,41,119
57,13,17,0,280
296,22,20,41,159
219,50,18,9,78
59,21,11,29,245
188,7,59,22,173
227,8,3,33,58
145,9,16,39,199
289,12,6,42,65
123,26,50,37,286
52,37,24,35,242
278,13,17,33,290
98,43,89,18,103
37,1,2,9,174
149,9,36,13,240
23,28,94,14,84
220,23,32,16,171
266,48,26,50,210
185,6,89,4,236
10,13,89,3,286
59,48,34,4,263
103,19,20,49,54
236,22,12,12,289
119,15,10,44,114
30,44,11,28,186
215,33,74,40,5
194,48,54,39,98
40,46,91,3,18
236,43,84,21,300
187,50,40,37,92
288,31,84,13,25
226,49,19,39,297
28,45,44,19,121
106,8,23,26,147
288,3,55,44,223
243,13,4,38,147
61,6,85,1,194
155,41,33,48,251
147,17,77,16,108
105,43,37,18,92
39,30,37,24,247
70,3,55,31,195
92,4,3,2,293
8,1,74,25,258
20,50,7,6,260
38,1,19,42,211
36,44,79,42,133
130,13,28,9,278
5,1,67,11,51
288,26,19,49,154
50,0,11,48,107
125,34,23,2,9
102,17,92,28,156
225,42,30,47,92
147,16,58,40,219
239,40,67,7,67
140,16,79,45,255
3,24,97,13,300
83,26,44,14,270
151,43,2,29,152
51,38,3,15,294
131,37,98,29,182
235,50,99,40,92
29,15,56,10,169
42,29,17,33,54
179,24,51,44,78
116,47,90,22,295
205,17,70,35,21
213,26,95,46,242
157,29,24,21,87
203,41,98,9,155
238,40,36,20,119
266,17,55,40,147
183,44,63,17,156
84,23,71,5,12
221,48,19,2,115
31,18,12,0,137
198,28,15,47,288
190,44,43,5,182
177,13,3,17,36
32,0,76,10,14
26,13,53,20,266
236,20,25,13,99
172,48,59,28,283
70,11,11,25,122
226,31,16,15,299
68,48,26,46,195
182,32,89,27,87
17,47,80,37,119
63,9,40,20,0
191,43,6,20,229
9,6,7,34,228
86,21,54,40,221
143,19,41,42,61
37,38,48,39,98
80,21,100,29,168
241,33,100,19,252
20,39,91,16,220
228,6,78,34,22
101,32,100,2,21
163,17,22,42,229
146,17,13,14,142
125,28,61,41,263
29,40,23,20,107
260,25,40,23,164
47,8,80,3,259
144,12,74,38,272
207,26,55,47,90
62,39,67,45,64
5,42,27,19,98
143,48,66,29,75
228,16,42,21,193
193,20,26,48,277
121,36,95,44,52
196,15,35,15,0
280,37,63,6,0
118,2,31,44,27
268,34,57,24,254
282,43,80,11,166
36,4,92,13,249
205,25,84,6,156
213,12,48,35,163
281,25,5,46,288
26,33,21,21,265
218,5,47,7,165
29,32,35,15,279
188,31,54,12,62
91,6,18,9,94
133,42,2,5,258
188,42,51,40,242
0,41,77,43,200
86,19,78,30,62
11,35,37,21,252
186,35,70,23,283
191,38,82,29,20
166,49,45,49,133
191,34,87,43,212
181,35,41,24,166
287,28,30,50,292
279,14,6,35,137
252,19,39,44,150
120,23,40,1,58
33,4,80,23,249
149,46,60,38,227
180,27,54,25,274
170,12,68,50,289
9,17,100,34,62
204,17,0,12,159
7,26,26,22,179
133,43,52,9,300
285,8,49,30,118
41,6,9,37,75
203,2,64,9,260
6,31,59,4,276
284,8,20,31,215
53,35,79,6,298
215,4,99,12,292
173,26,57,35,17
175,23,86,2,217
80,30,48,29,110
154,49,63,19,52
197,21,55,36,51
127,24,79,31,55
9,5,48,28,205
109,30,21,12,247
168,28,97,11,143
30,14,98,18,150
55,25,13,40,139
160,13,80,7,180
106,31,32,5,17
205,8,99,50,224
192,21,57,4,17
255,30,59,42,195
250,1,75,9,240
143,8,9,10,233
213,3,77,29,182
24,39,68,29,57
184,30,45,9,237
114,1,76,27,31
171,21,51,44,104
148,3,70,11,209
183,49,68,9,66
38,21,95,12,210
55,20,8,27,222
37,42,75,4,238
190,16,80,40,31
259,14,21,14,264
216,6,41,38,50
182,0,92,12,154
45,28,43,22,174
146,8,49,23,261
168,28,69,11,48
59,14,4,27,4
13,25,48,30,22
254,48,78,4,288
296,12,52,11,141
170,5,49,20,209
2,29,38,50,209
230,24,87,20,173
27,38,28,25,172
0,18,75,6,295
102,16,78,23,14
25,8,71,25,240
184,50,19,14,81
94,50,84,49,71
59,7,50,37,37
159,24,80,0,30
9,46,76,37,46
178,21,99,11,15
9,14,86,37,125
24,35,30,6,297
113,6,99,49,192
300,0,56,50,254
0,10,91,4,76
289,20,79,44,123
123,42,64,8,260
202,18,62,19,59
124,38,35,7,118
79,45,89,48,98
202,15,51,14,18
180,28,28,36,75
61,8,100,35,45
237,29,10,39,72
127,1,96,34,171
184,25,37,15,0
97,31,9,6,51
32,16,68,24,124
43,35,34,2,165
256,44,47,25,231
162,8,32,6,245
72,35,6,8,136
147,28,89,44,216
203,19,12,21,76
280,5,81,10,123
252,48,13,2,195
296,12,57,31,92
150,17,24,20,299
91,41,23,13,5
148,35,0,48,5
130,17,79,42,262
85,4,41,40,104
215,25,98,27,51
4,32,0,19,121
283,23,10,6,203
170,25,45,1,95
243,32,95,19,39
194,22,81,28,239
251,4,94,27,77
163,22,12,46,163
297,26,41,6,209
185,20,94,20,252
0,25,59,39,91
170,26,65,39,194
268,9,59,17,12
99,23,12,49,104
39,10,81,44,166
260,5,84,6,107
73,49,19,22,44
125,7,0,17,114
152,26,58,10,289
185,48,37,18,247
208,11,78,0,121
23,30,73,30,25
29,41,14,31,185
41,38,70,44,151
198,22,45,38,88
198,20,81,42,178
166,38,33,34,164
208,29,35,17,162
59,3,9,31,101
19,27,26,23,209
191,48,35,31,124
112,27,12,12,86
157,38,96,33,175
123,40,10,33,14
145,0,26,44,117
158,17,78,39,234
158,17,66,7,257
174,29,4,38,272
93,9,30,8,44
67,43,7,12,73
120,15,97,6,92
191,26,85,50,213
33,47,100,40,124
52,16,39,46,161
290,0,82,45,182
244,17,3,8,169
104,30,17,19,169
121,26,98,15,173
199,27,74,12,25
266,44,50,28,229
285,12,0,46,65
184,2,99,42,150
132,42,23,30,150
52,43,47,42,273
158,5,14,36,181
38,29,28,47,8
239,49,78,2,58
54,0,94,29,239
111,18,33,16,64
62,0,24,4,158
170,13,60,11,286
222,5,74,24,208
27,10,52,8,66
163,0,98,50,9
299,49,72,16,161
158,33,51,40,200
204,45,40,4,297
202,47,16,29,254
259,15,12,30,86
150,44,9,44,167
113,43,85,40,231
34,40,89,20,26
242,48,34,23,217
79,4,82,13,11
154,48,93,45,102
127,46,12,46,231
143,16,12,31,18
226,6,11,7,124
151,22,77,22,299
156,18,58,3,187
133,31,84,5,204
261,0,47,10,115
268,18,70,8,111
15,37,88,49,145
182,5,41,23,43
270,31,31,5,183
221,34,62,4,261
276,48,20,32,88
161,7,54,26,243
190,26,53,33,266
81,20,27,39,53
9,11,25,10,166
300,10,94,37,240
235,43,62,34,259
195,26,61,41,136
44,0,77,18,35
161,31,49,35,227
153,49,20,8,74
147,22,13,22,195
159,42,99,50,297
66,5,60,22,90
280,50,74,16,232
176,6,36,22,272
65,42,10,22,19
253,29,80,8,300
76,35,87,47,161
119,42,10,48,200
163,25,16,26,48
115,34,28,12,87
107,35,91,18,53
248,12,85,26,47
223,0,77,28,247
230,1,35,13,86
124,45,5,0,12
32,4,49,47,173
209,33,1,42,225
296,25,39,26,125
114,48,14,35,97
29,36,8,37,188
174,12,80,44,13
66,14,27,41,214
136,1,93,48,204
114,38,59,48,136
241,17,76,47,233
144,20,58,15,135
267,27,14,26,197
68,39,39,45,260
262,18,55,17,44
161,45,29,7,25
115,7,56,2,63
182,28,7,10,92
268,41,23,21,230
92,13,69,21,126
191,37,29,40,42
38,19,68,20,200
248,24,97,43,270
165,30,65,8,273
289,5,11,29,86
124,26,91,1,2
154,39,72,50,261
29,15,34,12,131
30,43,91,49,37
157,16,87,7,167
284,47,68,17,189
180,11,30,39,58
8,39,1,27,11
15,17,66,13,146
291,1,18,4,253
217,48,87,42,261
245,33,54,48,283
70,46,42,24,92
88,8,4,28,259
181,41,94,40,23
24,14,78,16,178
241,0,28,47,280
257,20,5,15,152
117,38,30,0,244
257,3,73,14,67
222,37,98,7,146
285,20,63,38,13
229,31,43,25,244
298,22,92,19,47
123,14,13,27,68
98,50,74,28,298
230,31,54,6,86
252,42,85,46,1
141,11,28,9,203
88,30,34,30,198
280,33,79,2,226
117,12,8,7,64
163,36,72,14,286
74,33,57,21,277
74,45,57,12,53
88,26,29,17,276
161,17,3,23,277
193,8,64,13,264
177,18,72,16,197
201,11,14,37,158
110,48,14,31,33
84,2,26,14,101
127,28,35,3,71
144,5,49,19,271
92,42,97,7,84
99,7,69,7,129
151,10,77,21,55
244,24,89,29,150
12,6,1,0,62
246,1,15,17,265
32,6,59,8,278
205,30,78,7,40
91,13,30,40,205
296,15,42,10,161
90,40,27,22,88
214,38,67,33,91
218,46,89,13,52
209,7,22,25,295
83,42,32,20,283
141,6,88,36,18
241,18,98,46,212
77,29,66,13,174
273,30,64,22,90
162,31,72,41,141
290,34,52,31,153
57,16,23,32,168
179,15,99,50,240
85,4,49,27,55
28,0,81,14,229
44,6,79,40,69
218,50,9,13,79
44,0,45,11,151
154,31,100,18,184
262,42,13,2,61
255,29,14,46,278
223,7,20,50,167
295,31,25,46,287
108,36,38,15,41
193,36,48,6,181
196,28,5,21,140
106,18,96,18,283
293,49,49,18,234
95,5,80,5,5
157,50,73,21,20
141,50,15,30,90
199,37,91,22,46
188,45,4,21,156
295,18,54,2,7
217,2,57,43,161
299,50,74,28,12
172,46,47,4,23
226,34,43,42,158
203,12,82,42,207
244,25,16,19,204
148,31,83,1,149
209,25,66,6,272
110,50,49,25,137
11,23,88,29,71
60,40,34,1,0
147,50,35,15,37
145,43,60,49,217
218,37,74,27,216
160,49,59,16,246
159,10,91,0,204
81,19,63,42,280
115,11,62,13,224
251,17,12,43,160
109,25,61,17,6
33,1,31,24,43
255,21,18,34,238
89,27,6,17,193
210,1,37,16,244
251,35,87,6,172
166,9,37,1,7
23,33,30,49,73
171,7,10,42,281
167,48,8,31,156
175,32,80,5,50
260,49,5,33,168
46,17,46,46,71
10,15,31,31,29
243,24,54,8,120
17,22,0,36,189
253,25,48,19,253
160,10,43,35,30
234,1,98,38,52
285,49,86,10,199
135,48,89,8,283
253,17,81,8,63
202,5,27,24,221
47,48,82,30,7
230,25,71,5,13
58,37,32,11,61
226,24,48,2,91
233,18,56,25,205
226,45,59,2,255
113,25,86,42,273
280,28,53,14,185
65,41,63,39,233
68,18,95,36,280
71,33,15,38,9
209,24,36,50,278
266,41,68,39,210
110,7,51,19,268
139,20,37,24,236
135,26,78,16,273
163,8,36,14,300
21,23,4,13,281
252,10,25,24,45
220,50,83,12,134
284,32,93,41,12
102,45,46,33,208
110,2,100,1,57
271,46,75,37,58
73,15,14,48,64
41,28,12,34,55
117,40,21,13,267
158,32,6,9,52
295,10,51,11,103
229,46,12,4,12
249,41,39,19,104
180,37,44,5,37
156,19,22,21,219
183,13,82,29,231
22,50,1,17,181
279,4,67,46,136
260,10,69,4,157
267,38,45,17,7
104,32,99,39,72
132,22,94,8,1
4,34,28,48,286
237,24,73,28,117
201,35,91,20,149
275,29,5,12,44
164,48,18,40,250
69,24,9,43,87
288,47,38,23,264
195,33,92,9,183
195,10,57,31,168
229,12,8,24,152
225,4,54,30,123
168,38,63,7,143
283,22,19,5,240
130,20,62,3,291
140,46,13,45,51
3,25,46,17,68
37,25,98,27,244
136,19,12,17,42
290,7,14,20,269
160,30,41,7,136
150,49,72,28,107
185,45,85,47,174
283,24,7,8,139
14,21,71,42,38
79,43,61,7,116
177,4,86,21,152
218,34,71,44,121
223,13,33,40,79
192,29,59,46,215
278,50,19,38,17
281,0,80,26,252
40,40,92,36,234
241,39,35,16,168
206,41,54,23,43
209,9,12,28,35
105,37,38,1,237
73,42,19,5,26
13,25,83,22,60
192,18,77,22,171
192,1,85,37,202
229,37,99,12,297
166,3,51,3,247
116,50,75,8,205
48,40,12,35,26
18,8,82,41,205
101,12,10,19,1
49,12,44,7,292
163,17,44,46,80
179,21,71,23,145
223,18,68,49,239
248,11,46,17,234
226,7,0,21,176
24,43,85,23,230
54,20,83,14,163
181,19,56,1,159
23,4,65,22,79
152,48,66,42,164
299,47,69,14,71
170,45,82,24,135
140,35,56,27,134
54,12,80,10,11
117,39,89,22,8
131,1,82,7,208
220,0,99,27,206
36,24,30,18,56
52,21,58,7,195
168,0,60,32,160
211,20,82,16,234
266,49,17,17,186
197,22,64,26,279
20,46,55,32,265
267,32,93,30,222
63,14,99,21,165
256,15,100,38,195
69,33,84,9,61
16,16,59,6,99
222,44,11,20,27
166,0,62,8,147
132,5,64,13,95
14,45,38,19,290
139,38,14,29,129
125,9,68,46,249
253,0,24,18,209
111,30,2,21,170
46,49,59,0,98
7,40,50,5,7
182,2,62,39,135
252,0,19,14,6
282,47,63,48,152
133,43,65,36,155
44,49,24,10,281
113,38,29,18,56
38,26,57,20,66
98,31,33,37,250
218,22,72,12,226
186,46,30,14,190
143,0,13,12,134
52,10,70,3,209
60,16,4,44,254
217,24,16,26,77
297,10,23,3,179
171,14,52,49,120
80,29,66,12,272
203,12,78,45,103
110,48,85,37,250
212,9,13,6,288
57,38,87,8,28
158,35,50,49,241
148,21,45,39,64
125,10,29,24,275
219,11,30,43,149
106,0,71,23,167
27,7,45,26,130
39,35,92,35,225
166,10,51,20,271
222,37,30,20,155
168,26,40,41,210
256,34,38,28,14
86,46,44,21,111
268,7,75,22,241
218,38,79,0,278
179,50,94,47,29
285,3,88,49,148
88,25,18,15,75
3,48,16,16,182
260,9,21,34,31
202,50,61,13,4
85,15,69,0,151
200,37,96,19,273
143,38,91,15,56
112,36,45,35,151
71,13,55,25,225
208,21,46,34,117
269,22,46,7,191
197,19,3,24,99
282,49,80,22,233
30,8,45,33,136
147,34,100,24,286
215,13,58,45,211
194,4,58,42,292
256,34,100,13,127
195,49,58,3,190
43,27,27,49,269
221,34,38,13,46
207,0,20,10,201
113,1,52,5,14
4,34,41,26,66
148,10,22,26,178
127,20,17,45,283
122,15,22,48,29
174,6,33,30,264
128,11,70,40,204
94,36,52,18,295
16,47,84,33,146
152,28,27,12,7
2,13,25,25,208
242,3,27,39,66
67,25,74,45,200
267,42,2,36,141
11,23,13,49,174
105,46,48,27,299
212,17,17,26,94
286,25,25,25,275
42,5,8,12,275
80,37,96,32,282
285,36,19,12,298
297,17,88,5,140
105,25,18,19,126
263,4,20,15,227
292,47,2,24,178
123,4,7,1,169
41,29,0,16,63
87,43,38,20,189
